entry_id,entry_date,entity,debit_account,credit_account,amount,explanation,source_transaction_ids,support_status,approval_status
AJE-001,2026-06-30,DWG Capital Group,Due From Owner,Operating Expenses (various),418675.78,Reclass 878 personal charges paid on the business card to Due From Owner (or Owner Distribution) pending substantiation.,"21fa906bd5050009, d4f660736af6b09a, a3b0fcdb6d013ad6, 453395c414a3374d, c611e44da5a0b6c3, a8a44fa4190313db, dc4ab2defe02c25c, f7d2a0a9af98280a …",Needs owner confirmation,Proposed — Pending Approval
AJE-002,2026-06-30,DWG Capital Partners,Due From Owner,Operating Expenses (various),119320.41,Reclass 809 personal charges paid on the business card to Due From Owner (or Owner Distribution) pending substantiation.,"b754407079fd65f0, 5d079192f9e8598a, f1b3eceaf55f5547, 3ebb2289fa994025, 1827a5940f772656, 7b6b2acc658f0202, 1e5c30bd19a91454, a13581f67e3a5b5b …",Needs owner confirmation,Proposed — Pending Approval
AJE-003,2026-06-30,Poseidon Asset Group,Due From Owner,Operating Expenses (various),79266.46,Reclass 465 personal charges paid on the business card to Due From Owner (or Owner Distribution) pending substantiation.,"f9d47bda68e1a77c, 007558f70ebe727c, 23f67565cf94b66a, f89b9e149294e302, 51546894aedd072c, 46e16ff00f1906ee, cd55fc94a1116151, 847d7b4ec624a082 …",Needs owner confirmation,Proposed — Pending Approval
AJE-004,2026-06-30,Poseidon Partners,Due From Owner,Operating Expenses (various),133658.92,Reclass 803 personal charges paid on the business card to Due From Owner (or Owner Distribution) pending substantiation.,"4cc997f8d910e3a5, c114dd0717f5b51f, 8ed550a4e79b70a2, 3be793c75075fc9e, 7ed096ee3844c675, 24a3c0829ec3e057, 811045ebdecc07ec, b3af03ef5faad619 …",Needs owner confirmation,Proposed — Pending Approval
AJE-005,2026-06-30,DWG Capital Partners,Operating Expenses (various),Due To Owner,17059.15,"Record 95 business charges paid on personal accounts as Due To Owner / reimbursable, pending approval.","9bf1195a96e55d13, 3f14f8b22e198f3a, 955ad2c3090acb46, c0de7b11d909692e, 5dccfbaace4b4491, 225aabb227042279, 52f27692e6f2a5c3, de91ebd048142a76",Needs receipt substantiation,Proposed — Pending Approval
AJE-006,2026-06-30,Consolidated,Credit Cards Payable,Cash (bank — pending),679625.53,"166 Amex payment(s) recorded as balance-sheet paydown of card liability, not operating expense (control confirmation).",see Debt and Credit Cards sheet,Confirmed from card data,Proposed — Pending Approval
AJE-007,2026-06-30,Consolidated,Suspense & Review,(to be determined),-23921.7,3544 unclassified item(s) parked in Suspense pending classification. Do not include in operating results.,see Uncategorized Review,Needs classification,Proposed — Pending Approval
AJE-008,2026-06-30,DWG Capital Group,Deal Cost (capitalize?),Deal Expense,20000.0,"Deal-specific cost for Moab — evaluate whether to capitalize, reimburse, or expense.",d47230ac7c77ee6e,Needs CPA determination,Proposed — Pending Approval
AJE-009,2026-06-30,DWG Capital Group,Deal Cost (capitalize?),Deal Expense,20000.0,"Deal-specific cost for Moab — evaluate whether to capitalize, reimburse, or expense.",5b0f412776927513,Needs CPA determination,Proposed — Pending Approval
AJE-010,2026-06-30,DWG Capital Group,Deal Cost (capitalize?),Deal Expense,15000.0,"Deal-specific cost for Tbd — evaluate whether to capitalize, reimburse, or expense.",e33d358489462a3d,Needs CPA determination,Proposed — Pending Approval
